rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
31,6776394,Alameda de Hercules,Points of Interest & Landmarks,,3.9,1140,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d6776394-Reviews-Alameda_de_Hercules-Seville_Province_of_Seville_Andalucia.html
32,4745553,Estadio Ramon Sanchez-Pizjuan,Arenas & Stadiums,,4.5,506,TRUE,,,"Sevilla FC is the oldest football club in Seville, founded in the year 1890. On the 25th of January of that year, it was founded as a private cultural and sporting association. The club was officially…",https://www.tripadvisor.com/Attraction_Review-g187443-d4745553-Reviews-Estadio_Ramon_Sanchez_Pizjuan-Seville_Province_of_Seville_Andalucia.html
33,191140,Torre Del Oro,Points of Interest & Landmarks • Architectural Buildings,Casco Antiguo,3.9,2469,FALSE,,,"Rumor has it that this beautiful tower was once tiled in gold; now, it houses a museum detailing the maritime history of the city.",https://www.tripadvisor.com/Attraction_Review-g187443-d191140-Reviews-Torre_Del_Oro-Seville_Province_of_Seville_Andalucia.html
34,729713,Plaza del Triunfo,Points of Interest & Landmarks • Historic Walking Areas,Casco Antiguo,4.4,713,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d729713-Reviews-Plaza_del_Triunfo-Seville_Province_of_Seville_Andalucia.html
35,2358825,Jardines de Murillo,Gardens,,4.2,969,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187443-d2358825-Reviews-Jardines_de_Murillo-Seville_Province_of_Seville_Andalucia.html
36,10352975,Sevilla Fashion Outlet,Factory Outlets • Shopping Malls,,3.5,106,FALSE,,,"Just 15 minutes from Seville, Sevilla Fashion Outlet brings together more than 100 of the biggest National and International fashion and lifestyle brands in one convenient location. Browse among a…",https://www.tripadvisor.com/Attraction_Review-g187443-d10352975-Reviews-Sevilla_Fashion_Outlet-Seville_Province_of_Seville_Andalucia.html
37,6776495,Mercadillo Historico El Jueves,Flea & Street Markets,,3.8,40,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d6776495-Reviews-Mercadillo_Historico_El_Jueves-Seville_Province_of_Seville_Andalucia.html
38,589318,Real Fabrica De Tabacos,Historic Sites • Educational sites,,4.1,912,FALSE,,,"The marble University building dates back to the 15th Century and once housed Seville's tobacco factory, the inspiration for Bizet's opera Carmen.",https://www.tripadvisor.com/Attraction_Review-g187443-d589318-Reviews-Real_Fabrica_De_Tabacos-Seville_Province_of_Seville_Andalucia.html
39,4028440,Iglesia de Santa María la Blanca,Churches & Cathedrals,,4.6,203,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d4028440-Reviews-Iglesia_de_Santa_Maria_la_Blanca-Seville_Province_of_Seville_Andalucia.html
40,7335231,Plaza de America,Points of Interest & Landmarks,,4.4,657,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d7335231-Reviews-Plaza_de_America-Seville_Province_of_Seville_Andalucia.html
41,7785680,Centro Ceramica Triana,Speciality Museums • Art Museums,,4.2,119,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d7785680-Reviews-Centro_Ceramica_Triana-Seville_Province_of_Seville_Andalucia.html
