rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
5390,21212731,Let's Roam,"City Tours • Bar, Club & Pub Tours",,,,FALSE,,,"Let’s Roam is an adventure and tour company committed to helping curious explorers discover new things and connect with others. Through digitally-guided scavenger hunt tours, scavenger hunts, virtual…",https://www.tripadvisor.com/Attraction_Review-g187497-d21212731-Reviews-Let_s_Roam-Barcelona_Catalonia.html
5391,21095515,Barcelona PRIVATE Chauffeur & First Class Drivers,Multi-day Tours • Taxis & Shuttles,Sant Martí,,,FALSE,,,"For almost 20 years, we have been specialized in the private transport of people. Based in Barcelona, we can operate throughout Spain and Europe. Our most common activities are transfers between the…",https://www.tripadvisor.com/Attraction_Review-g187497-d21095515-Reviews-Barcelona_PRIVATE_Chauffeur_First_Class_Drivers-Barcelona_Catalonia.html
5392,21284780,Institut Salut Holistica Paris,Spas,,,,FALSE,,,"Take a moment to feel your breath. To be aware of your body and take care of it as it deserves. In a massage session we can relax muscular tensions, eliminate stress and re-connect with our body & …",https://www.tripadvisor.com/Attraction_Review-g187497-d21284780-Reviews-Institut_Salut_Holistica_Paris-Barcelona_Catalonia.html
5393,21182601,somos entrespacios,City Tours • Cultural Tours,,,,FALSE,,,"Where every corner tells a story At Entrespacios, we invite you to explore Barcelona through specialized tours that immerse you in its history in detail and depth. Each place becomes a window into…",https://www.tripadvisor.com/Attraction_Review-g187497-d21182601-Reviews-Somos_entrespacios-Barcelona_Catalonia.html
5394,21320016,Bertrand RISPAL,Escape Games,,,,FALSE,,,Escapeadomiciliobarcelona.com Escape at home in Barcelona. From 3 to 50 people per 1 hour session. From € 15 per person.,https://www.tripadvisor.com/Attraction_Review-g187497-d21320016-Reviews-Bertrand_RISPAL-Barcelona_Catalonia.html
5395,21243793,Citywalksz Ltd,Multi-day Tours • Walking Tours,,,,FALSE,,,"Here at Audio Tourist, we’re all about the journey AND the destination. Our downloadable audio guides and maps take the frustration out of not knowing where to go, what to see, or how to get there…",https://www.tripadvisor.com/Attraction_Review-g187497-d21243793-Reviews-Citywalksz_Ltd-Barcelona_Catalonia.html
5396,21284754,Sun Kyeong,Yoga & Pilates • Spas,,,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d21284754-Reviews-Sun_Kyeong-Barcelona_Catalonia.html
5397,21287981,Secret City Trails,City Tours • Scavenger Hunts,Gracia,,,FALSE,,,"Secret City Trails creates meaningful moments of discovery on self-guided gamified walks. Explore the city by solving fun location-based riddles, getting to know curious stories and unlocking local…",https://www.tripadvisor.com/Attraction_Review-g187497-d21287981-Reviews-Secret_City_Trails-Barcelona_Catalonia.html
5398,21304880,Gothsland Galeria d'Art,Art Galleries,,,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d21304880-Reviews-Gothsland_Galeria_d_Art-Barcelona_Catalonia.html
5399,21309795,galerias de arte en Barcelona,Cultural Events • Exhibitions,,,,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187497-d21309795-Reviews-Galerias_de_arte_en_Barcelona-Barcelona_Catalonia.html
