location_id,name,rating,review_count,cuisine,price_range,url
778757,Euskal Etxea Taberna,4.1,1505,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d778757-Reviews-Euskal_Etxea_Taberna-Barcelona_Catalonia.html
779151,Tallers 76,3.8,156,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d779151-Reviews-Tallers_76-Barcelona_Catalonia.html
779458,Kibuka,4.1,936,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d779458-Reviews-Kibuka-Barcelona_Catalonia.html
779762,El Laurel,4.4,221,"Latin, Argentinean",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d779762-Reviews-El_Laurel-Barcelona_Catalonia.html
779775,Restaurante La Palmera,4.4,400,"French, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d779775-Reviews-Restaurante_La_Palmera-Barcelona_Catalonia.html
781355,El Raco Rambla Catalunya,3.9,933,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d781355-Reviews-El_Raco_Rambla_Catalunya-Barcelona_Catalonia.html
781940,Mic Sopars Fondues,3.6,51,"Swiss, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d781940-Reviews-Mic_Sopars_Fondues-Barcelona_Catalonia.html
782427,Balthazar,3.7,1009,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d782427-Reviews-Balthazar-Barcelona_Catalonia.html
782944,Cerveceria Catalana,4.4,14102,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d782944-Reviews-Cerveceria_Catalana-Barcelona_Catalonia.html
783896,Flamant,3.6,1288,"Italian, Pizza",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d783896-Reviews-Flamant-Barcelona_Catalonia.html
784338,La Fonda Paisa,4.0,176,"Latin, South American",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d784338-Reviews-La_Fonda_Paisa-Barcelona_Catalonia.html
784677,Tapa Tapa Passeig de Gracia,3.3,4576,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d784677-Reviews-Tapa_Tapa_Passeig_de_Gracia-Barcelona_Catalonia.html
785343,Restaurante Can Cargol,3.3,463,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d785343-Reviews-Restaurante_Can_Cargol-Barcelona_Catalonia.html
785479,Amaltea,3.9,192,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d785479-Reviews-Amaltea-Barcelona_Catalonia.html
786216,Travel Bar,3.5,554,"Bar, Spanish",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d786216-Reviews-Travel_Bar-Barcelona_Catalonia.html
786958,Cuines Santa Caterina,3.9,2652,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d786958-Reviews-Cuines_Santa_Caterina-Barcelona_Catalonia.html
786963,El Rosal Paellas y Arroces,3.1,15,"Mediterranean, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d786963-Reviews-El_Rosal_Paellas_y_Arroces-Barcelona_Catalonia.html
787824,La Flauta,4.4,3887,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d787824-Reviews-La_Flauta-Barcelona_Catalonia.html
788234,Creperie Les 3 Pommes,4.3,120,"French, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d788234-Reviews-Creperie_Les_3_Pommes-Barcelona_Catalonia.html
788935,Keik,3.8,160,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d788935-Reviews-Keik-Barcelona_Catalonia.html
790539,Fenicia,4.4,483,"Lebanese, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d790539-Reviews-Fenicia-Barcelona_Catalonia.html
793232,Machiroku,4.1,203,Japanese,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d793232-Reviews-Machiroku-Barcelona_Catalonia.html
794402,La Barbacoa de Gracia,3.2,101,"Steakhouse, Spanish",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d794402-Reviews-La_Barbacoa_de_Gracia-Barcelona_Catalonia.html
795395,La Lluna Restaurant,4.2,674,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d795395-Reviews-La_Lluna_Restaurant-Barcelona_Catalonia.html
795723,La Taverna del Clinic,4.0,784,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d795723-Reviews-La_Taverna_del_Clinic-Barcelona_Catalonia.html
795725,Kaede,3.9,27,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d795725-Reviews-Kaede-Barcelona_Catalonia.html
795743,Wakasa,4.5,191,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d795743-Reviews-Wakasa-Barcelona_Catalonia.html
797017,Brasseria Gallega,4.1,175,"Seafood, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d797017-Reviews-Brasseria_Gallega-Barcelona_Catalonia.html
797018,BEMBI,4.3,829,"Indian, Asian",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d797018-Reviews-BEMBI-Barcelona_Catalonia.html
798485,La Taverna del Coure,4.5,450,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d798485-Reviews-La_Taverna_del_Coure-Barcelona_Catalonia.html
798650,Yamadori,4.2,294,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d798650-Reviews-Yamadori-Barcelona_Catalonia.html
800338,Rosa Negra,4.1,1708,"Mexican, Latin",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d800338-Reviews-Rosa_Negra-Barcelona_Catalonia.html
800447,Restaurante Xamfra Gaudi,3.5,250,"Mediterranean, European",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d800447-Reviews-Restaurante_Xamfra_Gaudi-Barcelona_Catalonia.html
800988,Thai Barcelona Royal Cuisine Restaurant,3.8,1762,"Asian, Thai",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d800988-Reviews-Thai_Barcelona_Royal_Cuisine_Restaurant-Barcelona_Catalonia.html
801641,Tempura Ya,4.4,385,"Japanese, Sushi",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d801641-Reviews-Tempura_Ya-Barcelona_Catalonia.html
802355,Opium Barcelona,3.3,884,"International, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d802355-Reviews-Opium_Barcelona-Barcelona_Catalonia.html
802834,Mamacafe,4.0,154,"International, Mediterranean",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d802834-Reviews-Mamacafe-Barcelona_Catalonia.html
802968,Restaurante Chino Hoy,4.3,154,"Chinese, Asian",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d802968-Reviews-Restaurante_Chino_Hoy-Barcelona_Catalonia.html
803263,Green Room,4.3,129,"Bars & Pubs, Brew Pub",$,https://www.tripadvisor.com/Restaurant_Review-g187497-d803263-Reviews-Green_Room-Barcelona_Catalonia.html
803393,Coure,4.2,383,"Mediterranean, European",$$$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d803393-Reviews-Coure-Barcelona_Catalonia.html
803775,Chido One,3.6,149,"Mexican, Latin",$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g187497-d803775-Reviews-Chido_One-Barcelona_Catalonia.html
